R1 R2 R3 RW LW 
R1 R2 R3 RW LW 
1 2 3 -0.000294999999908 -7.37499999921e-09
1 2 3 -0.00200499990977 -6.01499990978e-07
1 2 3 -0.00146124999989 1.82656249995e-08
1 2 3 -0.00219249997533 3.28874998767e-07
1 2 3 -0.00219499997531 3.29249998765e-07
1 2 3 -0.00146624998614 2.01609374365e-07
1 2 3 -0.00146374998616 2.01265624366e-07
1 2 3 -0.00219874995036 4.67234371483e-07
1 2 3 -0.00220749990066 6.62249990066e-07
1 2 3 -0.00220749990066 6.62249990066e-07
1 2 3 -0.00221624985439 8.03390607405e-07
1 2 3 -0.00148124994897 3.88828120535e-07
1 2 3 -0.00222499979905 9.45624971533e-07
1 2 3 -0.00222749979883 9.46687471501e-07
1 2 3 -0.00148749993306 4.46249993306e-07
1 2 3 -0.00223124976136 1.03195308821e-06
1 2 3 -0.00223249977396 1.00462496609e-06
1 2 3 -0.00223374976109 1.03310933817e-06
1 2 3 -0.00223124978646 9.76171843859e-07
1 2 3 -0.0022224998222 8.88999976293e-07
1 2 3 -0.00148374994888 3.89484370527e-07
1 2 3 -0.0022199999001 6.6599999001e-07
1 2 3 -0.00221624992364 5.81765618319e-07
1 2 3 -0.00148249996247 3.33562497186e-07
1 2 3 -0.00221749990021 6.65249990021e-07
1 2 3 -0.0022149999557 4.42999997047e-07
1 2 3 -0.00146999998852 1.83749999522e-07
1 2 3 -0.00147749999584 1.10812499896e-07
1 2 3 -0.00220624995019 4.68828121471e-07
1 2 3 -0.0022174999307 5.54374994225e-07
1 2 3 -0.00221624994996 4.70953121456e-07
1 2 3 -0.00222124987349 7.49671860768e-07
1 2 3 -0.00147874997401 2.77265623376e-07
1 2 3 -0.00221374993757 5.25765620057e-07
1 2 3 -0.00221499991625 6.09124992323e-07
1 2 3 -0.00148124999063 1.66640624649e-07
1 2 3 -0.00221249995575 4.4249999705e-07
1 2 3 -0.00221249995575 4.4249999705e-07
1 2 3 -0.00147124998609 2.02296874363e-07
1 2 3 -0.00220874993771 5.24578120068e-07
1 2 3 -0.00220999999378 1.65749999844e-07
1 2 3 -0.00147 -0.0
1 2 3 -0.00219999999381 1.64999999845e-07
1 2 3 -0.00140374997532 -2.63203123458e-07
1 2 3 -4.37499998325e-05 -3.82812499512e-09
